exp,display,tdd,tdo,m_pt
1a,triangle,0,h,0.48734939759036144
1a,triangle,0,w,0.5030120481927711
1a,triangle,0.02,h,0.541566265060241
1a,triangle,0.02,w,0.5313253012048192
1a,triangle,0.05,h,0.5815261044176707
1a,triangle,0.05,w,0.6485943775100401
1a,triangle,0.09,h,0.6333333333333333
1a,triangle,0.09,w,0.7781124497991968
1a,triangle,0.14,h,0.7467871485943776
1a,triangle,0.14,w,0.7759036144578313
1a,horizontal,0,h,0.5433734939759036
1a,horizontal,0,w,0.49859437751004015
1a,horizontal,0.02,h,0.5510040160642571
1a,horizontal,0.02,w,0.5903614457831325
1a,horizontal,0.05,h,0.6536144578313253
1a,horizontal,0.05,w,0.6204819277108434
1a,horizontal,0.09,h,0.766867469879518
1a,horizontal,0.09,w,0.7512048192771085
1a,horizontal,0.14,h,0.7698795180722892
1a,horizontal,0.14,w,0.8391566265060241
1b,triangle,0,h,0.47843137254901963
1b,triangle,0,w,0.5041176470588236
1b,triangle,0.02,h,0.583921568627451
1b,triangle,0.02,w,0.5896078431372549
1b,triangle,0.05,h,0.6309803921568627
1b,triangle,0.05,w,0.7005882352941176
1b,triangle,0.09,h,0.7947058823529412
1b,triangle,0.09,w,0.8274509803921569
1b,triangle,0.14,h,0.881764705882353
1b,triangle,0.14,w,0.9076470588235295
1b,horizontal,0,h,0.4845098039215686
1b,horizontal,0,w,0.5147058823529412
1b,horizontal,0.02,h,0.6545098039215687
1b,horizontal,0.02,w,0.5945098039215686
1b,horizontal,0.05,h,0.7605882352941177
1b,horizontal,0.05,w,0.7714285714285715
1b,horizontal,0.09,h,0.9101960784313725
1b,horizontal,0.09,w,0.8505882352941176
1b,horizontal,0.14,h,0.9547058823529412
1b,horizontal,0.14,w,0.9484313725490197
