sub_n, computer_n, disp_cond, effect, set, distance, diag, block_n, trial_n, h1, w1, h2, w2, h3, w3, choice, rt 
123, 2, horizontal, practice, NA, 999, 999, 0, 1, 83, 130, 90, 71, 134, 121, 3, 3.83076
123, 2, horizontal, practice, NA, 999, 999, 0, 2, 191, 138, 123, 169, 59, 81, 1, 3.52621
123, 2, horizontal, practice, NA, 999, 999, 0, 3, 87, 65, 87, 90, 156, 184, 3, 1.77287
123, 2, horizontal, attraction, a-b-da, 2, 3, 1, 1, 193, 119, 195, 120, 120, 195, 3, 8.20279
123, 2, horizontal, filler, NA, 999, 999, 1, 2, 79, 70, 135, 176, 134, 111, 2, 2.25925
123, 2, horizontal, filler, NA, 999, 999, 1, 3, 165, 72, 57, 193, 192, 156, 3, 3.37905
123, 2, horizontal, attraction, a-b-da, 2, 1, 1, 4, 60, 135, 134, 59, 135, 60, 1, 6.83655
123, 2, horizontal, attraction, a-b-db, 2, 3, 1, 5, 195, 120, 120, 195, 119, 193, 1, 3.57283
123, 2, horizontal, attraction, a-b-da, 9, 1, 1, 6, 135, 60, 60, 135, 129, 57, 1, 6.30973
123, 2, horizontal, filler, NA, 999, 999, 1, 7, 106, 193, 78, 151, 145, 195, 3, 2.66047
123, 2, horizontal, attraction, a-b-db, 5, 3, 1, 8, 117, 190, 195, 120, 120, 195, 2, 9.96324
123, 2, horizontal, attraction, a-b-da, 14, 1, 1, 9, 135, 60, 125, 56, 60, 135, 3, 7.01264
123, 2, horizontal, filler, NA, 999, 999, 1, 10, 74, 173, 191, 179, 190, 73, 2, 3.00599
123, 2, horizontal, attraction, a-b-da, 5, 2, 1, 11, 161, 88, 90, 165, 165, 90, 1, 8.03261
123, 2, horizontal, attraction, a-b-db, 9, 1, 1, 12, 60, 135, 135, 60, 57, 129, 1, 6.26898
123, 2, horizontal, filler, NA, 999, 999, 1, 13, 140, 83, 148, 109, 167, 120, 3, 1.82037
123, 2, horizontal, filler, NA, 999, 999, 1, 14, 91, 146, 105, 91, 128, 138, 3, 4.09535
123, 2, horizontal, attraction, a-b-da, 9, 2, 1, 15, 165, 90, 90, 165, 157, 86, 1, 4.73969
123, 2, horizontal, filler, NA, 999, 999, 1, 16, 170, 182, 194, 56, 177, 163, 1, 7.15936
123, 2, horizontal, attraction, a-b-da, 2, 2, 1, 17, 163, 89, 165, 90, 90, 165, 1, 7.50759
123, 2, horizontal, attraction, a-b-db, 14, 2, 1, 18, 90, 165, 165, 90, 83, 153, 1, 8.91941
123, 2, horizontal, attraction, a-b-db, 2, 1, 1, 19, 135, 60, 60, 135, 59, 134, 1, 6.36781
123, 2, horizontal, attraction, a-b-db, 5, 2, 1, 20, 90, 165, 165, 90, 88, 161, 2, 4.42011
123, 2, horizontal, attraction, a-b-db, 9, 3, 1, 21, 195, 120, 114, 186, 120, 195, 1, 3.30038
123, 2, horizontal, attraction, a-b-da, 5, 3, 1, 22, 120, 195, 195, 120, 190, 117, 2, 6.55276
123, 2, horizontal, attraction, a-b-db, 14, 1, 1, 23, 60, 135, 56, 125, 135, 60, 1, 2.54896
123, 2, horizontal, attraction, a-b-da, 14, 3, 1, 24, 181, 111, 120, 195, 195, 120, 2, 5.58359
123, 2, horizontal, filler, NA, 999, 999, 1, 25, 195, 167, 83, 128, 60, 155, 1, 1.51412
123, 2, horizontal, attraction, a-b-db, 14, 3, 1, 26, 111, 181, 120, 195, 195, 120, 3, 10.2469
123, 2, horizontal, filler, NA, 999, 999, 1, 27, 110, 83, 133, 146, 158, 60, 2, 2.19796
123, 2, horizontal, attraction, a-b-db, 5, 1, 1, 28, 58, 132, 135, 60, 60, 135, 2, 6.28521
123, 2, horizontal, attraction, a-b-db, 2, 2, 1, 29, 165, 90, 90, 165, 89, 163, 1, 3.67553
123, 2, horizontal, attraction, a-b-da, 9, 3, 1, 30, 195, 120, 186, 114, 120, 195, 3, 11.8432
123, 2, horizontal, filler, NA, 999, 999, 1, 31, 152, 97, 141, 59, 64, 114, 1, 1.94603
123, 2, horizontal, attraction, a-b-da, 5, 1, 1, 32, 132, 58, 60, 135, 135, 60, 2, 3.6286
123, 2, horizontal, attraction, a-b-db, 9, 2, 1, 33, 90, 165, 86, 157, 165, 90, 1, 4.04697
123, 2, horizontal, attraction, a-b-da, 14, 2, 1, 34, 153, 83, 165, 90, 90, 165, 2, 9.20772
123, 2, horizontal, attraction, a-b-db, 9, 3, 2, 1, 120, 195, 114, 186, 195, 120, 1, 3.97235
123, 2, horizontal, attraction, a-b-db, 14, 3, 2, 2, 120, 195, 111, 181, 195, 120, 3, 6.16129
123, 2, horizontal, filler, NA, 999, 999, 2, 3, 138, 172, 109, 112, 143, 73, 1, 3.46657
123, 2, horizontal, attraction, a-b-db, 2, 3, 2, 4, 195, 120, 120, 195, 119, 193, 1, 6.89907
123, 2, horizontal, filler, NA, 999, 999, 2, 5, 162, 141, 193, 167, 120, 108, 2, 1.90279
123, 2, horizontal, filler, NA, 999, 999, 2, 6, 83, 93, 175, 88, 128, 98, 2, 4.21341
123, 2, horizontal, attraction, a-b-db, 9, 2, 2, 7, 90, 165, 86, 157, 165, 90, 1, 2.21561
