sub_n, computer_n, disp_cond, effect, set, distance, diag, block_n, trial_n, h1, w1, h2, w2, h3, w3, choice, rt 
154\, 4, triangle, practice, NA, 999, 999, 0, 1, 112, 94, 124, 180, 126, 92, 2, 2.00686
154\, 4, triangle, practice, NA, 999, 999, 0, 2, 125, 73, 188, 103, 70, 172, 2, 2.1031
154\, 4, triangle, practice, NA, 999, 999, 0, 3, 126, 125, 113, 123, 61, 142, 1, 2.50201
154\, 4, triangle, filler, NA, 999, 999, 1, 1, 189, 106, 69, 122, 87, 140, 1, 3.41408
154\, 4, triangle, attraction, a-b-db, 9, 2, 1, 2, 90, 165, 86, 157, 165, 90, 1, 2.44142
154\, 4, triangle, attraction, a-b-da, 5, 1, 1, 3, 60, 135, 132, 58, 135, 60, 1, 4.2402
154\, 4, triangle, filler, NA, 999, 999, 1, 4, 72, 139, 188, 83, 177, 174, 3, 1.47367
154\, 4, triangle, attraction, a-b-da, 2, 1, 1, 5, 134, 59, 60, 135, 135, 60, 2, 5.56129
154\, 4, triangle, attraction, a-b-db, 14, 1, 1, 6, 135, 60, 60, 135, 56, 125, 1, 2.11924
154\, 4, triangle, attraction, a-b-da, 2, 2, 1, 7, 90, 165, 165, 90, 163, 89, 1, 1.90036
154\, 4, triangle, attraction, a-b-db, 5, 1, 1, 8, 60, 135, 135, 60, 58, 132, 2, 3.46702
154\, 4, triangle, attraction, a-b-db, 5, 3, 1, 9, 120, 195, 195, 120, 117, 190, 3, 5.8775
154\, 4, triangle, filler, NA, 999, 999, 1, 10, 97, 155, 177, 113, 105, 68, 2, 1.89298
154\, 4, triangle, attraction, a-b-db, 2, 1, 1, 11, 59, 134, 135, 60, 60, 135, 2, 3.56327
154\, 4, triangle, attraction, a-b-db, 14, 2, 1, 12, 90, 165, 165, 90, 83, 153, 1, 1.60621
154\, 4, triangle, attraction, a-b-da, 9, 2, 1, 13, 90, 165, 157, 86, 165, 90, 1, 5.30634
154\, 4, triangle, filler, NA, 999, 999, 1, 14, 67, 104, 123, 82, 86, 174, 3, 2.47348
154\, 4, triangle, filler, NA, 999, 999, 1, 15, 63, 131, 159, 61, 94, 101, 3, 4.09587
154\, 4, triangle, attraction, a-b-db, 5, 2, 1, 16, 165, 90, 88, 161, 90, 165, 1, 1.66406
154\, 4, triangle, filler, NA, 999, 999, 1, 17, 121, 192, 182, 135, 133, 100, 2, 2.19825
154\, 4, triangle, attraction, a-b-da, 9, 1, 1, 18, 135, 60, 129, 57, 60, 135, 3, 1.73853
154\, 4, triangle, attraction, a-b-db, 9, 3, 1, 19, 195, 120, 120, 195, 114, 186, 1, 2.17714
154\, 4, triangle, filler, NA, 999, 999, 1, 20, 145, 58, 167, 158, 114, 161, 2, 2.18052
154\, 4, triangle, attraction, a-b-db, 2, 3, 1, 21, 120, 195, 195, 120, 119, 193, 1, 3.25651
154\, 4, triangle, attraction, a-b-db, 9, 1, 1, 22, 57, 129, 60, 135, 135, 60, 3, 2.06426
154\, 4, triangle, attraction, a-b-db, 2, 2, 1, 23, 89, 163, 165, 90, 90, 165, 3, 3.16918
154\, 4, triangle, attraction, a-b-da, 14, 2, 1, 24, 165, 90, 153, 83, 90, 165, 1, 4.0602
154\, 4, triangle, filler, NA, 999, 999, 1, 25, 160, 192, 92, 180, 103, 124, 1, 1.33215
154\, 4, triangle, filler, NA, 999, 999, 1, 26, 118, 63, 85, 102, 114, 111, 3, 1.27164
154\, 4, triangle, attraction, a-b-da, 14, 3, 1, 27, 195, 120, 120, 195, 181, 111, 2, 3.42552
154\, 4, triangle, attraction, a-b-db, 14, 3, 1, 28, 120, 195, 195, 120, 111, 181, 1, 4.9785
154\, 4, triangle, filler, NA, 999, 999, 1, 29, 180, 133, 137, 163, 183, 93, 1, 1.49395
154\, 4, triangle, attraction, a-b-da, 14, 1, 1, 30, 125, 56, 135, 60, 60, 135, 2, 5.11807
154\, 4, triangle, attraction, a-b-da, 5, 2, 1, 31, 165, 90, 90, 165, 161, 88, 1, 3.16438
154\, 4, triangle, attraction, a-b-da, 2, 3, 1, 32, 195, 120, 120, 195, 193, 119, 2, 2.49004
154\, 4, triangle, attraction, a-b-da, 5, 3, 1, 33, 195, 120, 120, 195, 190, 117, 2, 2.69492
154\, 4, triangle, attraction, a-b-da, 9, 3, 1, 34, 195, 120, 120, 195, 186, 114, 1, 1.95861
154\, 4, triangle, attraction, a-b-da, 5, 3, 2, 1, 120, 195, 190, 117, 195, 120, 3, 1.43641
154\, 4, triangle, attraction, a-b-da, 9, 1, 2, 2, 60, 135, 129, 57, 135, 60, 3, 1.99836
154\, 4, triangle, attraction, a-b-da, 14, 1, 2, 3, 135, 60, 60, 135, 125, 56, 1, 1.47972
154\, 4, triangle, filler, NA, 999, 999, 2, 4, 90, 195, 120, 95, 100, 91, 1, 1.24536
154\, 4, triangle, attraction, a-b-db, 9, 3, 2, 5, 120, 195, 114, 186, 195, 120, 3, 3.31869
154\, 4, triangle, attraction, a-b-db, 9, 2, 2, 6, 86, 157, 165, 90, 90, 165, 3, 2.35025
154\, 4, triangle, filler, NA, 999, 999, 2, 7, 56, 148, 89, 171, 145, 59, 2, 1.21058
154\, 4, triangle, filler, NA, 999, 999, 2, 8, 159, 173, 80, 59, 118, 100, 1, 1.31638
154\, 4, triangle, filler, NA, 999, 999, 2, 9, 61, 132, 152, 131, 98, 144, 2, 1.45019
154\, 4, triangle, attraction, a-b-da, 2, 1, 2, 10, 134, 59, 135, 60, 60, 135, 2, 2.75492
154\, 4, triangle, attraction, a-b-db, 2, 3, 2, 11, 195, 120, 120, 195, 119, 193, 3, 2.29616
154\, 4, triangle, filler, NA, 999, 999, 2, 12, 74, 191, 58, 162, 182, 173, 3, 1.14425
154\, 4, triangle, attraction, a-b-db, 5, 1, 2, 13, 60, 135, 58, 132, 135, 60, 3, 6.13987
154\, 4, triangle, attraction, a-b-da, 2, 3, 2, 14, 195, 120, 193, 119, 120, 195, 2, 1.97766
154\, 4, triangle, filler, NA, 999, 999, 2, 15, 150, 111, 138, 71, 93, 188, 1, 1.24424
154\, 4, triangle, attraction, a-b-db, 5, 2, 2, 16, 90, 165, 165, 90, 88, 161, 2, 1.72816
154\, 4, triangle, attraction, a-b-da, 9, 3, 2, 17, 186, 114, 120, 195, 195, 120, 3, 1.78141
154\, 4, triangle, attraction, a-b-db, 5, 3, 2, 18, 195, 120, 120, 195, 117, 190, 2, 1.51129
154\, 4, triangle, attraction, a-b-db, 14, 2, 2, 19, 90, 165, 83, 153, 165, 90, 3, 1.56651
154\, 4, triangle, filler, NA, 999, 999, 2, 20, 159, 122, 57, 148, 164, 108, 1, 1.5401
154\, 4, triangle, filler, NA, 999, 999, 2, 21, 110, 111, 188, 66, 117, 180, 3, 1.39797
154\, 4, triangle, attraction, a-b-da, 2, 2, 2, 22, 163, 89, 165, 90, 90, 165, 3, 2.79592
154\, 4, triangle, attraction, a-b-da, 5, 2, 2, 23, 90, 165, 161, 88, 165, 90, 1, 1.33383
154\, 4, triangle, filler, NA, 999, 999, 2, 24, 59, 85, 73, 143, 182, 151, 3, 1.28318
154\, 4, triangle, attraction, a-b-db, 9, 1, 2, 25, 135, 60, 57, 129, 60, 135, 2, 1.9297
154\, 4, triangle, attraction, a-b-db, 2, 2, 2, 26, 165, 90, 90, 165, 89, 163, 1, 1.30321
154\, 4, triangle, attraction, a-b-db, 14, 3, 2, 27, 195, 120, 120, 195, 111, 181, 2, 1.29516
154\, 4, triangle, filler, NA, 999, 999, 2, 28, 181, 101, 158, 114, 195, 84, 2, 2.01212
154\, 4, triangle, attraction, a-b-db, 14, 1, 2, 29, 60, 135, 135, 60, 56, 125, 2, 1.78545
