sub_n, computer_n, disp_cond, effect, set, distance, diag, block_n, trial_n, h1, w1, h2, w2, h3, w3, choice, rt 
19, 5, horizontal, practice, NA, 999, 999, 0, 1, 80, 194, 93, 80, 67, 116, 1, 4.22675
19, 5, horizontal, practice, NA, 999, 999, 0, 2, 169, 123, 163, 75, 96, 121, 1, 2.22794
19, 5, horizontal, practice, NA, 999, 999, 0, 3, 58, 175, 184, 128, 179, 132, 2, 2.10551
19, 5, horizontal, attraction, a-b-db, 5, 1, 1, 1, 60, 135, 58, 132, 135, 60, 1, 3.14946
19, 5, horizontal, attraction, a-b-da, 14, 3, 1, 2, 181, 111, 120, 195, 195, 120, 2, 4.13045
19, 5, horizontal, attraction, a-b-da, 9, 3, 1, 3, 120, 195, 195, 120, 186, 114, 1, 3.295
19, 5, horizontal, attraction, a-b-da, 14, 1, 1, 4, 125, 56, 60, 135, 135, 60, 2, 3.58471
19, 5, horizontal, filler, NA, 999, 999, 1, 5, 113, 100, 154, 187, 134, 144, 2, 2.06718
19, 5, horizontal, attraction, a-b-db, 9, 1, 1, 6, 57, 129, 60, 135, 135, 60, 1, 6.28925
19, 5, horizontal, attraction, a-b-db, 9, 3, 1, 7, 120, 195, 195, 120, 114, 186, 1, 4.48967
19, 5, horizontal, attraction, a-b-db, 14, 3, 1, 8, 195, 120, 111, 181, 120, 195, 3, 2.30602
19, 5, horizontal, attraction, a-b-db, 5, 3, 1, 9, 117, 190, 120, 195, 195, 120, 2, 4.52633
19, 5, horizontal, attraction, a-b-db, 2, 1, 1, 10, 60, 135, 59, 134, 135, 60, 3, 1.81438
19, 5, horizontal, attraction, a-b-da, 9, 1, 1, 11, 60, 135, 129, 57, 135, 60, 3, 4.9121
19, 5, horizontal, attraction, a-b-db, 9, 2, 1, 12, 165, 90, 90, 165, 86, 157, 2, 2.81459
19, 5, horizontal, attraction, a-b-da, 5, 3, 1, 13, 195, 120, 120, 195, 190, 117, 3, 3.63033
19, 5, horizontal, attraction, a-b-da, 5, 2, 1, 14, 90, 165, 161, 88, 165, 90, 1, 1.6658
19, 5, horizontal, attraction, a-b-da, 14, 2, 1, 15, 165, 90, 153, 83, 90, 165, 3, 1.83253
19, 5, horizontal, attraction, a-b-da, 2, 1, 1, 16, 134, 59, 135, 60, 60, 135, 3, 1.30051
19, 5, horizontal, attraction, a-b-da, 2, 2, 1, 17, 163, 89, 165, 90, 90, 165, 3, 1.28869
19, 5, horizontal, filler, NA, 999, 999, 1, 18, 85, 174, 72, 150, 148, 193, 3, 2.12071
19, 5, horizontal, attraction, a-b-da, 5, 1, 1, 19, 132, 58, 135, 60, 60, 135, 3, 1.69781
19, 5, horizontal, attraction, a-b-db, 5, 2, 1, 20, 88, 161, 165, 90, 90, 165, 2, 5.11839
19, 5, horizontal, filler, NA, 999, 999, 1, 21, 145, 57, 150, 195, 151, 117, 2, 1.82653
19, 5, horizontal, attraction, a-b-da, 2, 3, 1, 22, 120, 195, 195, 120, 193, 119, 1, 2.25251
19, 5, horizontal, attraction, a-b-da, 9, 2, 1, 23, 165, 90, 90, 165, 157, 86, 3, 1.83959
19, 5, horizontal, filler, NA, 999, 999, 1, 24, 146, 170, 78, 103, 66, 57, 1, 1.37389
19, 5, horizontal, filler, NA, 999, 999, 1, 25, 93, 86, 109, 100, 97, 130, 3, 2.61961
19, 5, horizontal, attraction, a-b-db, 2, 2, 1, 26, 165, 90, 90, 165, 89, 163, 2, 2.99021
19, 5, horizontal, filler, NA, 999, 999, 1, 27, 186, 171, 170, 63, 162, 66, 1, 1.45014
19, 5, horizontal, filler, NA, 999, 999, 1, 28, 109, 195, 59, 186, 119, 181, 3, 2.66556
19, 5, horizontal, attraction, a-b-db, 2, 3, 1, 29, 195, 120, 120, 195, 119, 193, 3, 3.48326
19, 5, horizontal, filler, NA, 999, 999, 1, 30, 155, 61, 121, 70, 120, 78, 3, 4.17586
19, 5, horizontal, attraction, a-b-db, 14, 2, 1, 31, 165, 90, 83, 153, 90, 165, 3, 9.24656
19, 5, horizontal, filler, NA, 999, 999, 1, 32, 151, 195, 128, 100, 119, 115, 1, 4.10904
