sub_n,disp_cond,block_n,trial_n,computer_n,set,distance,diag,d_identity,t_identity,c_identity,d,c,t,rt
50301,horizontal,1,1,1,a-b-da,14,1,2,3,1,8.522488794077272,8.802012678827591,8.928370482070653,28.8338
50301,horizontal,1,4,1,a-b-da,14,2,1,3,2,9.159396256314341,9.265615906942239,9.265615906942239,56.5431
50301,horizontal,1,5,1,a-b-db,9,2,2,3,1,9.265615906942239,9.159396256314341,9.299804773660838,50.6241
50301,horizontal,1,7,1,a-b-db,14,1,3,1,2,8.845025089269518,9.085313712953644,9.085313712953644,43.5887
50301,horizontal,1,8,1,a-b-db,5,2,1,2,3,9.265615906942239,9.265615906942239,9.333419010293602,50.591
50301,horizontal,1,13,1,a-b-db,14,3,1,3,2,9.725648768146183,10.099403514805813,9.933628195194277,37.9036
50301,horizontal,1,14,1,a-b-db,2,1,3,2,1,8.802012678827591,8.887131907665182,8.887131907665182,20.1644
50301,horizontal,1,15,1,a-b-db,5,1,2,3,1,8.75805486539004,8.845025089269518,8.713109153685922,33.2356
50301,horizontal,1,17,1,a-b-db,2,3,2,3,1,9.908783155197163,9.933628195194277,9.883625590783444,49.1906
50301,horizontal,1,18,1,a-b-da,5,3,2,3,1,9.832340729556767,9.858147539228584,9.725648768146183,26.3668
50301,horizontal,1,20,1,a-b-da,9,3,1,2,3,9.933628195194277,9.982411101442596,9.958168380377906,42.2889
50301,horizontal,1,21,1,a-b-da,9,1,3,2,1,8.887131907665182,8.887131907665182,9.008381151298051,46.3566
50301,horizontal,1,24,1,a-b-da,2,3,3,2,1,9.883625590783444,10.053424478356416,9.933628195194277,32.8021
50301,horizontal,1,25,1,a-b-da,9,2,2,1,3,9.462496052568744,9.641720369948118,9.583745296201613,46.7396
50301,horizontal,1,27,1,a-b-db,9,1,1,2,3,8.928370482070653,8.887131907665182,8.928370482070653,22.8489
50301,horizontal,1,28,1,a-b-db,2,2,2,3,1,9.430999338632466,9.462496052568744,9.430999338632466,29.3674
50301,horizontal,1,29,1,a-b-da,2,1,1,2,3,8.887131907665182,8.802012678827591,8.802012678827591,37.737
50301,horizontal,1,32,1,a-b-da,2,2,1,3,2,9.299804773660838,9.299804773660838,9.333419010293602,70.4971
50301,horizontal,1,33,1,a-b-db,9,3,2,3,1,9.958168380377906,9.982411101442596,10.030032398830032,47.1732
