sub_n,disp_cond,block_n,trial_n,set,distance,diag,rsq,d,c,t
50301,horizontal,1,1,h,14,1,0.8887394290756992,5026.548245743667,6647.610054996007,7542.96396126909
50301,horizontal,1,4,h,14,2,0.8887394290756992,9503.31777710912,10568.317686676066,10568.317686676066
50301,horizontal,1,5,w,9,2,0.8887394290756992,10568.317686676066,9503.31777710912,10935.884027146063
50301,horizontal,1,7,w,14,1,0.8887394290756992,6939.778171779855,8824.73376393373,8824.73376393373
50301,horizontal,1,8,w,5,2,0.8887394290756992,10568.317686676066,10568.317686676066,11309.733552923257
50301,horizontal,1,13,w,14,3,0.8887394290756992,16741.547250980013,24328.49350939935,20611.989400202627
50301,horizontal,1,14,w,2,1,0.8887394290756992,6647.610054996007,7238.229473870885,7238.229473870885
50301,horizontal,1,15,w,5,1,0.8887394290756992,6361.7251235193335,6939.778171779855,6082.123377349836
50301,horizontal,1,17,w,2,3,0.8887394290756992,20106.192982974673,20611.989400202627,19606.67975105391
50301,horizontal,1,18,h,5,3,0.8887394290756992,18626.502843133872,19113.449704440314,16741.547250980013
50301,horizontal,1,20,h,9,3,0.8887394290756992,20611.989400202627,21642.431790580074,21124.069002737757
50301,horizontal,1,21,h,9,1,0.8887394290756992,7238.229473870885,7238.229473870885,8171.28249198705
50301,horizontal,1,24,h,2,3,0.8887394290756992,19606.67975105391,23235.21926595011,20611.989400202627
50301,horizontal,1,25,h,9,2,0.8887394290756992,12867.963509103793,15393.80400258998,14526.724430199196
50301,horizontal,1,27,w,9,1,0.8887394290756992,7542.96396126909,7238.229473870885,7542.96396126909
50301,horizontal,1,28,w,2,2,0.8887394290756992,12468.981242097894,12867.963509103793,12468.981242097894
50301,horizontal,1,29,h,2,1,0.8887394290756992,7238.229473870885,6647.610054996007,6647.610054996007
50301,horizontal,1,32,h,2,2,0.8887394290756992,10935.884027146063,10935.884027146063,11309.733552923257
50301,horizontal,1,33,w,9,3,0.8887394290756992,21124.069002737757,21642.431790580074,22698.00692218624
50301,horizontal,1,35,h,5,1,0.8887394290756992,6647.610054996007,6361.7251235193335,6361.7251235193335
50301,horizontal,1,36,w,5,3,0.8887394290756992,19606.67975105391,21642.431790580074,20611.989400202627
50301,horizontal,1,38,h,5,2,0.8887394290756992,11689.86626400761,12076.282160399154,12076.282160399154
50301,horizontal,1,39,h,14,3,0.8887394290756992,18626.502843133872,19606.67975105391,18626.502843133872
50301,horizontal,1,40,w,14,2,0.8887394290756992,10207.034531513229,10935.884027146063,9503.31777710912
50301,horizontal,2,1,w,2,3,0.8887394290756992,28352.873698647898,26590.44021998399,28952.917895483544
50301,horizontal,2,2,w,2,2,0.8887394290756992,14526.724430199196,14526.724430199196,14526.724430199196
50301,horizontal,2,4,h,14,3,0.8887394290756992,21642.431790580074,22698.00692218624,20611.989400202627
50301,horizontal,2,7,w,5,2,0.8887394290756992,17203.361371057705,15836.76856674616,15393.80400258998
50301,horizontal,2,8,h,9,1,0.8887394290756992,11309.733552923257,10935.884027146063,12468.981242097894
50301,horizontal,2,9,w,14,3,0.8887394290756992,28352.873698647898,30171.855845076363,26590.44021998399
50301,horizontal,2,10,h,5,3,0.8887394290756992,22167.077763729583,21642.431790580074,22698.00692218624
50301,horizontal,2,11,w,9,1,0.8887394290756992,7853.981633974479,8494.866535306803,8494.866535306803
50301,horizontal,2,15,w,5,3,0.8887394290756992,24328.49350939935,23778.71479502116,25446.90049407734
50301,horizontal,2,16,h,14,2,0.8887394290756992,11309.733552923257,13273.228961416877,12468.981242097894
50301,horizontal,2,17,h,5,1,0.8887394290756992,9852.034561657589,10207.034531513229,9160.884177867829
50301,horizontal,2,19,h,5,2,0.8887394290756992,14957.122623740997,14102.609421964582,15393.80400258998
50301,horizontal,2,22,h,14,1,0.8887394290756992,7853.981633974479,8171.28249198705,8171.28249198705
50301,horizontal,2,23,h,9,3,0.8887394290756992,25446.90049407734,22698.00692218624,24328.49350939935
50301,horizontal,2,24,h,2,1,0.8887394290756992,7238.229473870885,7238.229473870885,7542.96396126909
50301,horizontal,2,25,h,9,2,0.8887394290756992,15393.80400258998,14526.724430199196,14102.609421964582
50301,horizontal,2,30,h,2,2,0.8887394290756992,14526.724430199196,14102.609421964582,14957.122623740997
50301,horizontal,2,32,w,2,1,0.8887394290756992,6361.7251235193335,7853.981633974479,8171.28249198705
