sub_n, computer_n, disp_cond, effect, set, distance, diag, block_n, trial_n, h1, w1, h2, w2, h3, w3, circle1_area, circle1_rad, circle2_area, circle2_rad, circle3_area, circle3_rad, rt 
                    353, 2, horizontal, practice, NA, 999, 999, 0, 1, 95, 174, 82, 131, 85, 145, 11689.9, 61, 8494.87, 52, 8494.87, 52, 50.5909
                    353, 2, horizontal, practice, NA, 999, 999, 0, 2, 158, 106, 117, 103, 105, 140, 10568.3, 58, 8494.87, 52, 8171.28, 51, 47.7736
                    353, 2, horizontal, practice, NA, 999, 999, 0, 3, 116, 177, 95, 105, 161, 109, 12469, 63, 6082.12, 44, 9503.32, 55, 42.355
                    353, 2, horizontal, calibration, NA, 999, 999, 1, 1, 67, 182, 175, 114, 142, 79, 6082.12, 44, 12076.3, 62, 5541.77, 42, 22.382
                    353, 2, horizontal, calibration, NA, 999, 999, 1, 2, 71, 151, 64, 56, 133, 166, 10935.9, 59, 3631.68, 34, 14957.1, 69, 17.7643
                    353, 2, horizontal, calibration, NA, 999, 999, 1, 3, 74, 161, 173, 131, 128, 144, 11309.7, 60, 18145.8, 76, 16741.5, 73, 21.7987
                    353, 2, horizontal, attraction, a-b-db, 5, 3, 1, 1, 117, 190, 120, 195, 195, 120, 14526.7, 68, 18145.8, 76, 15393.8, 70, 38.6704
                    353, 2, horizontal, filler, NA, 999, 999, 1, 2, 140, 58, 106, 194, 87, 189, 8494.87, 52, 15836.8, 71, 12076.3, 62, 23.2994
                    353, 2, horizontal, attraction, a-b-da, 9, 3, 1, 3, 186, 114, 120, 195, 195, 120, 13684.8, 66, 16286, 72, 14102.6, 67, 16.1299
                    353, 2, horizontal, filler, NA, 999, 999, 1, 4, 107, 168, 175, 148, 98, 185, 16741.5, 73, 28352.9, 95, 14957.1, 69, 14.8131
                    353, 2, horizontal, attraction, a-b-da, 14, 2, 1, 5, 153, 83, 165, 90, 90, 165, 13273.2, 65, 12076.3, 62, 12076.3, 62, 14.3299
                    353, 2, horizontal, attraction, a-b-da, 14, 1, 1, 6, 135, 60, 60, 135, 125, 56, 10935.9, 59, 12469, 63, 12868, 64, 19.3316
                    353, 2, horizontal, attraction, a-b-da, 5, 2, 1, 7, 90, 165, 161, 88, 165, 90, 19113.4, 78, 16286, 72, 14957.1, 69, 13.1294
                    353, 2, horizontal, attraction, a-b-da, 2, 2, 1, 8, 163, 89, 90, 165, 165, 90, 13684.8, 66, 12868, 64, 14102.6, 67, 9.71169
                    353, 2, horizontal, attraction, a-b-da, 5, 3, 1, 9, 190, 117, 195, 120, 120, 195, 24328.5, 88, 16286, 72, 16741.5, 73, 12.6458
                    353, 2, horizontal, filler, NA, 999, 999, 1, 10, 82, 94, 166, 67, 64, 76, 12076.3, 62, 15393.8, 70, 6082.12, 44, 14.3461
                    353, 2, horizontal, filler, NA, 999, 999, 1, 11, 67, 172, 158, 105, 136, 96, 14102.6, 67, 18145.8, 76, 11689.9, 61, 16.864
                    353, 2, horizontal, attraction, a-b-da, 5, 1, 1, 12, 132, 58, 135, 60, 60, 135, 12469, 63, 12076.3, 62, 9160.88, 54, 13.6797
                    353, 2, horizontal, filler, NA, 999, 999, 1, 13, 74, 79, 104, 96, 121, 126, 7238.23, 48, 12868, 64, 15836.8, 71, 13.5789
                    353, 2, horizontal, catch, NA, 999, 999, 1, 14, 121, 194, 61, 134, 89, 106, 23235.2, 86, 17203.4, 74, 9503.32, 55, 12.9626
                    353, 2, horizontal, attraction, a-b-da, 9, 1, 1, 15, 135, 60, 129, 57, 60, 135, 12076.3, 62, 12868, 64, 12076.3, 62, 13.8293
                    353, 2, horizontal, filler, NA, 999, 999, 1, 16, 169, 110, 162, 182, 141, 121, 19606.7, 79, 38707.6, 111, 17203.4, 74, 21.0819
                    353, 2, horizontal, filler, NA, 999, 999, 1, 17, 73, 156, 121, 174, 175, 74, 17203.4, 74, 23235.2, 86, 14526.7, 68, 19.2647
                    353, 2, horizontal, attraction, a-b-db, 14, 3, 1, 18, 195, 120, 120, 195, 111, 181, 19606.7, 79, 17203.4, 74, 17203.4, 74, 17.0802
                    353, 2, horizontal, attraction, a-b-da, 2, 3, 1, 19, 193, 119, 195, 120, 120, 195, 19606.7, 79, 19113.4, 78, 19113.4, 78, 16.3801
                    353, 2, horizontal, attraction, a-b-db, 9, 2, 1, 20, 86, 157, 165, 90, 90, 165, 20106.2, 80, 21642.4, 83, 15836.8, 71, 15.963
                    353, 2, horizontal, filler, NA, 999, 999, 1, 21, 107, 148, 170, 171, 62, 154, 19606.7, 79, 28352.9, 95, 11689.9, 61, 12.2623
                    353, 2, horizontal, attraction, a-b-db, 14, 2, 1, 22, 165, 90, 90, 165, 83, 153, 21642.4, 83, 19606.7, 79, 20106.2, 80, 16.4138
                    353, 2, horizontal, filler, NA, 999, 999, 1, 23, 146, 168, 154, 96, 106, 170, 21124.1, 82, 17203.4, 74, 17203.4, 74, 27.9341
                    353, 2, horizontal, attraction, a-b-db, 9, 1, 1, 24, 57, 129, 135, 60, 60, 135, 14957.1, 69, 13684.8, 66, 11689.9, 61, 17.864
                    353, 2, horizontal, attraction, a-b-db, 2, 3, 1, 25, 120, 195, 195, 120, 119, 193, 24328.5, 88, 22698, 85, 18626.5, 77, 29.5347
                    353, 2, horizontal, attraction, a-b-db, 14, 1, 1, 26, 60, 135, 135, 60, 56, 125, 9852.03, 56, 11309.7, 60, 9852.03, 56, 12.346
