sub_n, computer_n, disp_cond, effect, set, distance, diag, block_n, trial_n, h1, w1, h2, w2, h3, w3, circle1_area, circle1_rad, circle2_area, circle2_rad, circle3_area, circle3_rad, rt 
154\, 4, triangle, practice, NA, 999, 999, 0, 1, 148, 167, 109, 175, 97, 94, 17203.4, 74, 30790.7, 99, 7853.98, 50, 18.3917
154\, 4, triangle, practice, NA, 999, 999, 0, 2, 59, 125, 85, 178, 129, 153, 6361.73, 45, 17203.4, 74, 24884.6, 89, 10.6252
154\, 4, triangle, practice, NA, 999, 999, 0, 3, 83, 102, 124, 111, 59, 184, 7238.23, 48, 15393.8, 70, 6082.12, 44, 10.5252
154\, 4, triangle, calibration, NA, 999, 999, 1, 1, 192, 183, 64, 168, 119, 132, 24328.5, 88, 6647.61, 46, 10207, 57, 9.72518
154\, 4, triangle, calibration, NA, 999, 999, 1, 2, 138, 122, 168, 194, 96, 121, 15393.8, 70, 41547.6, 115, 7853.98, 50, 10.0585
154\, 4, triangle, calibration, NA, 999, 999, 1, 3, 58, 136, 140, 184, 89, 108, 9160.88, 54, 26590.4, 92, 10568.3, 58, 10.7585
154\, 4, triangle, filler, NA, 999, 999, 1, 1, 147, 84, 66, 173, 175, 67, 8171.28, 51, 14957.1, 69, 9160.88, 54, 11.7917
154\, 4, triangle, catch, NA, 999, 999, 1, 2, 142, 173, 103, 92, 98, 97, 20612, 81, 9503.32, 55, 6361.73, 45, 13.3585
154\, 4, triangle, filler, NA, 999, 999, 1, 3, 146, 84, 77, 83, 59, 147, 14957.1, 69, 7238.23, 48, 8171.28, 51, 7.32516
154\, 4, triangle, attraction, a-b-db, 9, 1, 1, 4, 135, 60, 60, 135, 57, 129, 9503.32, 55, 8494.87, 52, 10568.3, 58, 9.7587
154\, 4, triangle, attraction, a-b-da, 9, 1, 1, 5, 135, 60, 129, 57, 60, 135, 10207, 57, 7542.96, 49, 4778.36, 39, 7.92519
154\, 4, triangle, filler, NA, 999, 999, 1, 6, 85, 143, 131, 166, 149, 130, 7542.96, 49, 16741.5, 73, 20106.2, 80, 10.3252
