sub_n, computer_n, disp_cond, effect, set, distance, diag, block_n, trial_n, h1, w1, h2, w2, h3, w3, circle1_area, circle1_rad, circle2_area, circle2_rad, circle3_area, circle3_rad, rt 
444, 3, triangle, practice, NA, 999, 999, 0, 1, 82, 146, 115, 67, 147, 70, 18145.8, 76, 13684.8, 66, 14957.1, 69, 23.7991
444, 3, triangle, practice, NA, 999, 999, 0, 2, 61, 159, 164, 100, 123, 125, 5541.77, 42, 20612, 81, 20612, 81, 14.013
444, 3, triangle, practice, NA, 999, 999, 0, 3, 89, 187, 69, 83, 89, 152, 13273.2, 65, 2827.43, 30, 9503.32, 55, 14.3461
444, 3, triangle, calibration, NA, 999, 999, 1, 1, 102, 68, 171, 171, 163, 110, 5026.55, 40, 26015.5, 91, 15393.8, 70, 15.93
444, 3, triangle, calibration, NA, 999, 999, 1, 2, 85, 77, 152, 184, 59, 74, 4536.46, 38, 43005.3, 117, 3216.99, 32, 9.96162
444, 3, triangle, calibration, NA, 999, 999, 1, 3, 95, 107, 78, 160, 86, 172, 6939.78, 47, 7238.23, 48, 9503.32, 55, 13.5289
444, 3, triangle, filler, NA, 999, 999, 1, 1, 119, 145, 70, 74, 166, 144, 15393.8, 70, 4071.5, 36, 32047.4, 101, 11.3454
444, 3, triangle, attraction, a-b-db, 9, 1, 1, 2, 135, 60, 57, 129, 60, 135, 17203.4, 74, 11309.7, 60, 10935.9, 59, 16.2799
444, 3, triangle, attraction, a-b-db, 14, 1, 1, 3, 135, 60, 60, 135, 56, 125, 18145.8, 76, 18145.8, 76, 14526.7, 68, 14.563
444, 3, triangle, attraction, a-b-da, 14, 2, 1, 4, 90, 165, 165, 90, 153, 83, 17203.4, 74, 15836.8, 71, 12469, 63, 17.5302
444, 3, triangle, catch, NA, 999, 999, 1, 5, 138, 177, 90, 105, 85, 110, 20612, 81, 8494.87, 52, 8171.28, 51, 10.9952
444, 3, triangle, filler, NA, 999, 999, 1, 6, 68, 140, 134, 191, 171, 145, 4300.84, 37, 32047.4, 101, 32685.1, 102, 10.2114
444, 3, triangle, filler, NA, 999, 999, 1, 7, 72, 87, 135, 103, 57, 177, 6647.61, 46, 24884.6, 89, 7853.98, 50, 10.7449
444, 3, triangle, attraction, a-b-db, 5, 3, 1, 8, 195, 120, 117, 190, 120, 195, 18626.5, 77, 15836.8, 71, 22698, 85, 11.662
444, 3, triangle, filler, NA, 999, 999, 1, 9, 178, 97, 96, 163, 78, 169, 7853.98, 50, 11689.9, 61, 6082.12, 44, 9.09501
444, 3, triangle, attraction, a-b-db, 5, 2, 1, 10, 165, 90, 90, 165, 88, 161, 13273.2, 65, 10207, 57, 12076.3, 62, 10.045
444, 3, triangle, attraction, a-b-db, 14, 3, 1, 11, 195, 120, 111, 181, 120, 195, 16741.5, 73, 17671.5, 75, 18145.8, 76, 8.14415
444, 3, triangle, filler, NA, 999, 999, 1, 12, 121, 185, 165, 99, 101, 64, 35968.1, 107, 22167.1, 84, 6361.73, 45, 16.6635
444, 3, triangle, filler, NA, 999, 999, 1, 13, 59, 184, 127, 58, 84, 104, 13684.8, 66, 11689.9, 61, 11309.7, 60, 12.579
444, 3, triangle, filler, NA, 999, 999, 1, 14, 162, 57, 89, 173, 190, 175, 5808.8, 43, 18145.8, 76, 35968.1, 107, 12.3459
444, 3, triangle, attraction, a-b-da, 2, 3, 1, 15, 120, 195, 195, 120, 193, 119, 24884.6, 89, 24884.6, 89, 18626.5, 77, 9.91162
444, 3, triangle, filler, NA, 999, 999, 1, 16, 192, 177, 127, 146, 178, 96, 43743.5, 118, 15836.8, 71, 18145.8, 76, 15.5131
444, 3, triangle, attraction, a-b-db, 9, 2, 1, 17, 86, 157, 90, 165, 165, 90, 19606.7, 79, 32685.1, 102, 21124.1, 82, 14.3636
444, 3, triangle, attraction, a-b-db, 2, 3, 1, 18, 119, 193, 120, 195, 195, 120, 12469, 63, 13273.2, 65, 15393.8, 70, 8.79434
444, 3, triangle, catch, NA, 999, 999, 1, 19, 90, 105, 153, 162, 117, 78, 7238.23, 48, 24884.6, 89, 5808.8, 43, 7.6442
444, 3, triangle, attraction, a-b-da, 5, 1, 1, 20, 60, 135, 135, 60, 132, 58, 7238.23, 48, 8494.87, 52, 7238.23, 48, 11.4955
444, 3, triangle, attraction, a-b-db, 2, 1, 1, 21, 59, 134, 60, 135, 135, 60, 14102.6, 67, 11309.7, 60, 14526.7, 68, 9.96157
444, 3, triangle, filler, NA, 999, 999, 1, 22, 125, 101, 162, 194, 168, 142, 5281.02, 41, 25446.9, 90, 15393.8, 70, 7.62781
444, 3, triangle, attraction, a-b-da, 5, 2, 1, 23, 90, 165, 161, 88, 165, 90, 10568.3, 58, 18626.5, 77, 17203.4, 74, 8.7779
444, 3, triangle, filler, NA, 999, 999, 1, 24, 90, 161, 87, 56, 132, 88, 16741.5, 73, 4778.36, 39, 26015.5, 91, 8.27771
444, 3, triangle, attraction, a-b-da, 14, 1, 1, 25, 135, 60, 60, 135, 125, 56, 9503.32, 55, 8824.73, 53, 9852.03, 56, 6.41036
444, 3, triangle, attraction, a-b-da, 14, 3, 1, 26, 181, 111, 195, 120, 120, 195, 17203.4, 74, 16286, 72, 26015.5, 91, 7.26111
