sub_n, computer_n, disp_cond, effect, set, distance, diag, block_n, trial_n, h1, w1, h2, w2, h3, w3, circle1_area, circle1_rad, circle2_area, circle2_rad, circle3_area, circle3_rad, rt 
3, 3, horizontal, practice, NA, 999, 999, 0, 1, 175, 148, 187, 58, 192, 160, 22698, 85, 17671.5, 75, 33979.5, 104, 55.2923
3, 3, horizontal, practice, NA, 999, 999, 0, 2, 178, 98, 130, 151, 143, 161, 23235.2, 86, 26015.5, 91, 28952.9, 96, 30.9012
3, 3, horizontal, practice, NA, 999, 999, 0, 3, 153, 130, 123, 127, 178, 85, 17203.4, 74, 16741.5, 73, 21642.4, 83, 17.2137
3, 3, horizontal, calibration, NA, 999, 999, 1, 1, 71, 105, 153, 153, 191, 162, 11689.9, 61, 22698, 85, 34636.1, 105, 25.2328
3, 3, horizontal, calibration, NA, 999, 999, 1, 2, 154, 183, 81, 59, 86, 69, 25446.9, 90, 4778.36, 39, 6361.73, 45, 24.1658
3, 3, horizontal, calibration, NA, 999, 999, 1, 3, 84, 118, 57, 106, 87, 156, 13684.8, 66, 8171.28, 51, 17671.5, 75, 12.1787
3, 3, horizontal, filler, NA, 999, 999, 1, 1, 77, 132, 123, 59, 194, 132, 19113.4, 78, 15836.8, 71, 32685.1, 102, 26.0498
3, 3, horizontal, attraction, a-b-db, 5, 1, 1, 2, 60, 135, 58, 132, 135, 60, 14526.7, 68, 13684.8, 66, 13684.8, 66, 12.1289
3, 3, horizontal, attraction, a-b-da, 9, 1, 1, 3, 135, 60, 129, 57, 60, 135, 12469, 63, 11689.9, 61, 10207, 57, 12.4453
3, 3, horizontal, filler, NA, 999, 999, 1, 4, 115, 58, 91, 157, 117, 61, 10207, 57, 19113.4, 78, 12868, 64, 33.3188
3, 3, horizontal, attraction, a-b-da, 5, 3, 1, 5, 190, 117, 195, 120, 120, 195, 29559.2, 97, 30171.9, 98, 30171.9, 98, 15.2134
3, 3, horizontal, filler, NA, 999, 999, 1, 6, 181, 84, 78, 95, 86, 140, 29559.2, 97, 9160.88, 54, 15393.8, 70, 13.5962
3, 3, horizontal, attraction, a-b-da, 2, 1, 1, 7, 134, 59, 135, 60, 60, 135, 15393.8, 70, 15393.8, 70, 15836.8, 71, 13.6627
3, 3, horizontal, filler, NA, 999, 999, 1, 8, 88, 134, 147, 145, 98, 125, 18145.8, 76, 28352.9, 95, 20106.2, 80, 11.9123
3, 3, horizontal, filler, NA, 999, 999, 1, 9, 141, 168, 152, 107, 64, 97, 30171.9, 98, 22167.1, 84, 8171.28, 51, 13.8962
3, 3, horizontal, attraction, a-b-db, 9, 1, 1, 10, 60, 135, 135, 60, 57, 129, 17203.4, 74, 17671.5, 75, 16286, 72, 11.7955
3, 3, horizontal, filler, NA, 999, 999, 1, 11, 147, 105, 94, 127, 108, 101, 22698, 85, 25446.9, 90, 27759.1, 94, 13.6123
3, 3, horizontal, attraction, a-b-db, 2, 1, 1, 12, 135, 60, 60, 135, 59, 134, 19113.4, 78, 17203.4, 74, 18626.5, 77, 7.96094
3, 3, horizontal, filler, NA, 999, 999, 1, 13, 122, 150, 109, 126, 159, 76, 22167.1, 84, 20106.2, 80, 24884.6, 89, 11.6287
3, 3, horizontal, catch, NA, 999, 999, 1, 14, 193, 122, 92, 103, 93, 102, 40115, 113, 10935.9, 59, 11309.7, 60, 13.8128
