ace 14.73 4.1966 3
age 79.2 4.90415 3
all 5161.86 6.71289 3
ark 3.9 3.69037 3
awe 2.63 3.5596 3
axe 4.88 3.76955 3
bay 24.24 4.40201 3
bee 10.35 4.05511 3
bet 171.82 5.2376 3
bib 0.49 3.17324 3
bob 91.49 4.9661 3
boo 11.69 4.10333 3
bop 1.84 3.4538 3
bow 20.27 4.32786 3
box 89.75 4.95782 3
bug 20.94 4.34126 3
bum 15.43 4.21567 3
buy 192.43 5.28653 3
cob 0.69 3.22693 3
cog 0.53 3.18452 3
coo 0.69 3.22693 3
cop 86.14 4.9402 3
cow 25.51 4.42341 3
coy 1.73 3.43544 3
cry 65.65 4.82378 3
cue 7.78 3.94371 3
cut 229.76 5.36317 3
day 801.82 5.90462 3
did 2341.37 6.36966 3
dip 7.96 3.95235 3
dry 42.82 4.64171 3
dud 1.25 3.35313 3
due 44.61 4.65904 3
dug 8.92 3.99658 3
ebb 0.35 3.13128 3
egg 26.04 4.43199 3
elf 3.78 3.67982 3
ell 1.82 3.45079 3
err 1.51 3.39964 3
fan 35.14 4.55796 3
fax 7 3.90309 3
fee 9.69 4.02883 3
few 301.82 5.48119 3
fey 0.49 3.17324 3
fez 3.84 3.68513 3
fig 1.22 3.34551 3
fir 0.43 3.15575 3
fit 57.59 4.76781 3
fix 86.78 4.94342 3
flu 8.71 3.98704 3
fly 85 4.9345 3
fob 0.27 3.10534 3
foe 1.84 3.4538 3
fog 9.45 4.01916 3
fox 21.61 4.35426 3
fry 8.39 3.97277 3
fun 235.49 5.37381 3
fur 8.27 3.96729 3
gag 7.06 3.90627 3
gap 4.27 3.72218 3
get 4583.76 6.66132 3
gig 11.2 4.08622 3
goo 2.14 3.49655 3
got 3306.49 6.5195 3
guy 762.61 5.88287 3
gym 18.18 4.28277 3
hag 1.78 3.44472 3
ham 11.59 4.09996 3
hem 0.82 3.26091 3
hen 3.2 3.62284 3
her 2835.82 6.45283 3
hex 1.29 3.36062 3
hid 11.69 4.10333 3
him 3484.51 6.54227 3
hit 275 5.44091 3
hog 5.12 3.78658 3
hub 3.06 3.6084 3
hue 1.39 3.37879 3
hum 4.82 3.76519 3
hut 13.22 4.15277 3
ice 79.55 4.90606 3
icy 2.65 3.56194 3
ill 21.27 4.34781 3
imp 0.27 3.10534 3
inn 8.39 3.97277 3
ion 0.39 3.14369 3
ivy 3.37 3.64073 3
jab 3.35 3.63878 3
jam 13.53 4.16225 3
jaw 7.14 3.91048 3
jay 16.1 4.23295 3
jet 14.14 4.18005 3
jib 0.71 3.23195 3
jig 1.71 3.43231 3
job 413 5.617 3
jog 2.41 3.53298 3
jot 0.73 3.23691 3
joy 28.55 4.47054 3
jug 2.63 3.5596 3
keg 3.43 3.64654 3
ken 16.75 4.24908 3
key 86.86 4.9438 3
kit 17.65 4.27061 3
lax 1.71 3.43231 3
lot 569.92 5.75658 3
lox 0.9 3.2792 3
men 372.76 5.5726 3
mew 0.45 3.16166 3
mix 16.35 4.23937 3
mom 430.39 5.63487 3
moo 2.08 3.48833 3
mow 2.29 3.51774 3
nix 1.63 3.41953 3
nor 35.98 4.56797 3
nun 6.96 3.90096 3
oaf 0.98 3.29675 3
oak 5.61 3.82006 3
off 1179.51 6.07207 3
oil 41.08 4.62406 3
our 1400.49 6.14659 3
peg 36.41 4.57301 3
pen 24.73 4.41036 3
pep 3.49 3.65227 3
pet 20.18 4.32585 3
pew 1.04 3.30946 3
pip 2.57 3.5525 3
ply 0.31 3.1185 3
pox 1.47 3.3928 3
pry 4.12 3.70907 3
pub 3.73 3.67445 3
pug 1.02 3.30527 3
pun 1.84 3.4538 3
pup 3.22 3.62487 3
rib 5.9 3.83897 3
rig 8.63 3.98351 3
rip 20.16 4.32545 3
rug 10.41 4.05735 3
rum 7.49 3.92892 3
rut 1.53 3.40302 3
sax 1.25 3.35313 3
say 1639.78 6.21505 3
sew 5.49 3.81226 3
shy 18.37 4.28719 3
sis 7.84 3.94661 3
six 199.53 5.30218 3
ski 8.1 3.95895 3
sky 44.8 4.6609 3
sly 2.67 3.56427 3
sow 1.92 3.46562 3
soy 2.31 3.52032 3
spy 20.06 4.32343 3
sty 0.37 3.13753 3
tax 14.55 4.1917 3
tee 2.16 3.49926 3
tie 44.43 4.65736 3
toe 12.69 4.13629 3
tot 1.06 3.31362 3
toy 16.84 4.25147 3
tux 3.45 3.64846 3
ump 0.35 3.13128 3
vat 1.49 3.39623 3
vet 5.8 3.83276 3
vow 5.41 3.80698 3
wad 1.75 3.43856 3
wax 9.04 4.0017 3
web 9.22 4.00927 3
why 2248.76 6.35214 3
wig 8.35 3.97095 3
win 134.65 5.13241 3
wiz 0.57 3.19552 3
wok 0.75 3.24182 3
woo 6.73 3.88793 3
wow 160 5.20683 3
yes 1996.76 6.30054 3
yip 1.25 3.35313 3
you 41857.1 7.62178 3
yum 4.06 3.70405 3
yup 11.65 4.10199 3
zap 2.45 3.53794 3
zip 7.63 3.93588 3
zit 1.02 3.30527 3
zoo 13.65 4.16575 3
